2024-08-18 11:51:05,744 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Configure stats pid to 88661
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/pgoyal/.config/wandb/settings
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/pgoyal/main/test/wandb/settings
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_init.py:_log_setup():520] Logging user logs to /cluster/home/pgoyal/main/test/wandb/run-20240818_115105-l959zhs4/logs/debug.log
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_init.py:_log_setup():521] Logging internal logs to /cluster/home/pgoyal/main/test/wandb/run-20240818_115105-l959zhs4/logs/debug-internal.log
2024-08-18 11:51:05,745 INFO    MainThread:88661 [wandb_init.py:_jupyter_setup():466] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x14e61cecbb50>
2024-08-18 11:51:05,746 INFO    MainThread:88661 [wandb_init.py:init():560] calling init triggers
2024-08-18 11:51:05,746 INFO    MainThread:88661 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-08-18 11:51:05,746 INFO    MainThread:88661 [wandb_init.py:init():610] starting backend
2024-08-18 11:51:05,746 INFO    MainThread:88661 [wandb_init.py:init():614] setting up manager
2024-08-18 11:51:05,753 INFO    MainThread:88661 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: fork
2024-08-18 11:51:05,756 INFO    MainThread:88661 [wandb_init.py:init():622] backend started and connected
2024-08-18 11:51:05,767 INFO    MainThread:88661 [wandb_run.py:_label_probe_notebook():1334] probe notebook
2024-08-18 11:51:05,768 INFO    MainThread:88661 [wandb_run.py:_label_probe_notebook():1344] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-08-18 11:51:05,768 INFO    MainThread:88661 [wandb_init.py:init():711] updated telemetry
2024-08-18 11:51:05,772 INFO    MainThread:88661 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-08-18 11:51:06,183 INFO    MainThread:88661 [wandb_run.py:_on_init():2402] communicating current version
2024-08-18 11:51:06,318 INFO    MainThread:88661 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-08-18 11:51:06,319 INFO    MainThread:88661 [wandb_init.py:init():795] starting run threads in backend
2024-08-18 11:51:37,011 INFO    MainThread:88661 [wandb_run.py:_console_start():2380] atexit reg
2024-08-18 11:51:37,012 INFO    MainThread:88661 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-08-18 11:51:37,012 INFO    MainThread:88661 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-08-18 11:51:37,012 INFO    MainThread:88661 [wandb_run.py:_redirect():2325] Redirects installed.
2024-08-18 11:51:37,014 INFO    MainThread:88661 [wandb_init.py:init():838] run started, returning control to user process
2024-08-18 11:51:37,018 INFO    MainThread:88661 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-18 11:51:37,018 INFO    MainThread:88661 [wandb_init.py:_pause_backend():431] pausing backend
2024-08-18 11:51:37,024 INFO    MainThread:88661 [wandb_init.py:_resume_backend():436] resuming backend
2024-08-18 11:51:37,027 INFO    MainThread:88661 [jupyter.py:save_ipynb():372] not saving jupyter notebook
2024-08-18 11:51:37,027 INFO    MainThread:88661 [wandb_init.py:_pause_backend():431] pausing backend
2024-08-18 11:51:37,033 INFO    MainThread:88661 [wandb_init.py:_resume_backend():436] resuming backend
